NAME,COUNTY,LAT,LON,TIDE
Carmel Cove: Carmel Bay,9413375,36.52,-121.94,1
MONTEREY: MONTEREY BAY,9413450,36.605,-121.8881,2
General Fish Company Pier,9413617,36.8017,-121.787,1
Moss Landing: Ocean Pier,9413616,36.8017,-121.79,1
Elkhorn Yacht Club,9413626,36.8133,-121.787,1
Elkhorn Slough: Highway 1 Bridge,9413623,36.81,-121.785,1
Pacific Mariculture Dock,9413624,36.8133,-121.758,1
Elkhorn: Elkhorn Slough,9413631,36.8183,-121.747,2
Tidal Creek: Elkhorn Slough,9413643,36.8333,-121.745,2
Kirby Park: Elkhorn Slough,9413651,36.8413,-121.7453,3
Elkhorn Slough railroad bridge,9413663,36.8567,-121.755,2
Santa Cruz: Monterey Bay,9413745,36.9583,-122.017,1
Ano Nuevo Island,9413878,37.1083,-122.338,1
Pillar Point Harbor: Half Moon Bay,9414131,37.5025,-122.4822,2
Southeast Farallon Island,9414262,37.7,-123,1
